Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Er setz sich unter ... ... Zuschauer.;Unter die;Unter den;In den;1;
Er hält seine Vorlesungen ... Deutsch;auf;in;an;2;
Körpergröße ... einen Meter siebziegbezeichnet man als groß.;ab;von;bis;1;
Das Schff ist ... (mehr) 100 Meter lang.;über;von;aus;1;
Wir kamen ... Diskutieren.;zum;bei;ins;3;
Das geht ... meine Kraft.;über;hinaus;durch;1;
Die Reisekosten betrugen ... tausend Mark.;ab;von;über;3;
... sonnig... Italien.;In das sonnige;Nach das sonnige;Zu dem sonnigen;1;
Uta begann ... Freude zu weinen.;Aus;Vor;Bei;2;
Die Kinder können ... Ungeduld nicht stillsitzen.;Aus;Durch;Vor;3;
... Müdigkeit ist sie am Tisch eingehalten.;Vor;Durch;Aus;1;
Er beging dieses Verbrechen ... Rache.;durch;aus;vor;2;
... der Grenze ... ist die Straße sehr schlecht.;Von...an;Auf...zu;Von...her;1;
... 1. November ... muss er sehr früh aufstehen.;Vom...an;Auf...zu;Von...her;1;
... nächsten Monat ... arbeite ich schon an einer anderein Stelle.;Auf...zu;Von...her;Vom...an;3;
Das neue Gesetz ist ... Januar ... in Kraft.;Vom...an;Von...her;Auf...zu;1;
... dort ... liefen wir ohne Pause.;Von...an;Von...her;Auf...zu;1;
... heute läuft der Lehrgang.;Von;Um;Seit;1;
... meinem Bedauern muss ich Ihnen mitteilen,;Aus;Zu;Bei;2;
... Regen fällt die Veranstaltung aus.;Durch;Mit;Bei;3;
... seinen Worten hat er schon zwei Auszeichnungen erhalten.;Aus;Nach;Von;2;
... sechs Jahren kommen die Kinder in die Schule.;Bei;Zu;Mit;3;
Der Schriftsteller lebte ... die Zeit.;Um;In;An;1;
Das machen wir ... zweit.;bei;zu;an;2;
... aller Vorsicht gerieten sie doch  ... Falle.;Bei...in;Bei...auf;Zu...in;1;
Es ist ... der Nacht ... Dinstag ...  Mitwoch passiert.;An...von...auf;In...von...auf;In...von...zu;2;
Wir sicnd erst ... Mitternacht ... Leipzig angekommen.;nach...in;ab...in;bei...nach;1;
... der Diskussion hat er alle ... sich.;In...hinter;Aus...gegen;Zu...gegen;1;
... Bericht ist alles ... ... Letzte durchdacht.;Im...bis...ins;Im...zu...bis;Bei...von...aus;1;
Die Rebellen sind ... Nacht und Nebel ... Dorf eingedrungen.;in...ins;zu...ins;bei...ins;3;
... Andenken schenkte er ihr eine Uhr.;Für den;Zum;Als ein;2;
Er ist ... ... beide Ohren ... sie verlibt.;bis über...in;bis zu...in;bis an...in;1;
... wie ... macht er ... Sprechen viele Fehler.;Ab...zu...beim;Nach...vor...beim;Nach...vor...im;2;
Ich habe ihm ... Hemmungen;entgegen;bezüglich;gegenüber;3;
... den allgemeinen Erwartungen siegte die Opposition.;gegenüber;entgegen;laut;2;
Wir brachen ... Tagesanbruch auf.;bei;zu;ab;1;
Ich habe Seite ... Seite gelesen.;nach;um;durch;2;
Er plant ... ... die ferne Zukunft.;in...zu;ab...zu;bis...in;3;
Er hat seinen Anweisungen .... gahandelt.;nach;entsprechend;demnächst;2;
Allem Anschein ... wird es heute noch regnen.;entsprechend;zufolge;nach;3;
Den ganzen September ... hat es geregnet.;durch;hindurch;über;2;
Der Betrieb ist ... Monate ... ausgelastet.;durch...hindurch;über...hinweg;auf...hinaus;3;
Vergiss, was ich ... Zorn gesagt habe.;im;aus;vor;1;
... Freitag ... Sonnabend hat er Gäste.;Von...an;Von...her;Von..auf;3;
Der erste Weinachtstag fällt ... einen Dienstag.;auf;an; über;1;
Der Enkel lief ... die Großmutter ... .;an...zu;auf...zu;auf...her;2;
Der Nagel ... den Kopf treffen.;an;über;auf;3;
Die Katze ... dem Sack lassen.;aus;von;bei;1;
Sich etwas ... Fingern saugen.;von;aus;ab;2;
Sich etwas ... Ohren schreiben.;hinter;auf;an;1;
Das fünfte Rad ... Wagen sein.;im;am;beim;2;
... mich wurde er informiert.;von;durch;bei;2;
Dieses Zitat fand ich ... Goethe.;bei;in;an;1;
... Hans ist Werner der Größte in der Klasse.;ab;von;nach;3;
... der Straßenverkehrsordnung ist der Angeklagte schuldig.;Laut;Entsprechend;Gemäß;3;
Die Frauen ... ihren Kinder wurden aus dem Land vertrieben.;mit;samt;über;2;
Das Kino war ... ... den letzten Platz besetzt.;bis...zu;bis...an;bis...auf;3;
Wir verschieben die Abfahrt ... 3 Tage.;um;auf;nach;1;
Die Maschine war ... Betrieb.;außer;bei;in;1;
Sie sagte es ... Tränen.;durch;unter;über;2;
Fragen ... Fragen wurden gestellt.;über;nach;bei;1;
... seiner beruflichen Arbeit hat er noch viele gesellschaftliche Verpflichtungen.;mit;bei;neben;3;
... großem Beifall wurde der redner vorgestellt.;unter;bei;auf;1;
Er verschuldet sich auf Jahre ... .;her;hinweg;hinaus;3;
Fährt der Bus ... den Bahnhof?;zu;über;durch;2;
... seiner Stelle hätte ich anders gehandelt.;An;Auf;Bei;1;
... dem Wohnheim befintet sich eine Entbindungsanstalt.;auf;gegenüber;an;2;
Das Land ist ... viele Jahrzehnte mit Rohstoffen versorgt.;über;durch;auf;3;
Er hat sie ... Gefahr auf das eigene Leben gerettet.;unter;bei;durch;1;
Seiner Anweisung ... wurde der neue Kollege eingestellt.;zufolge;gemäß;infolge;1;
... Radio Athen findet bald ein Gipfeltreffen statt.;Entsprechend;Laut;Gemäß;2;
... der Erwartung der Zusage.;In;Bei;Unter;1;
... dem Umstand.;In;Bei;Unter;3;
... eines Jahres hat sie nichts von ihm gehört.;Binnen;Während;Seit;2;
... die Presse bekannt sein.;Bei;Durch;Wegen;2;
... unser... Werk liefern.;Von...em;Ab...em;Von...en;1;
... den Gefaren schützen.;Aus;Gegen;Vor;3;
... ... Aspekt.;Aus...dem;Unter...dem;Bei..dem;2;
... kurz... .;Seit...em;Ab...em;Vor...em;3;
Wir erwarten die Antwort ... einer Woche.;inmitte;innerhalb;mittels;2;
... all... deutsch... Flughäfen fliegen.;Ab...e...e;Ab...em...en;Ab...en...en;3;
...  all... Dingen.;Unter...e;Unter...en;Unter...em;2;
... Bezug auf etwas.;In;Unter;Von;1;
Er wurde ... Mangels an Beweisen freigesprochen.;zwecks;infolgedessen;wegen;3;
... seines Freundes kam sein Bruder.;Statt;Gegen;Sonst;1;
Es ist ... seiner Abwesenheit passiert.;seit;während;in;2;
... des starken Schneefalls war die Straße unpassierbar.;Laut;Entsprechend;Infolge;3;
... dem schlechten Wetter sind wir zu Hause geblieben.;Infolge;Wegen;Zwecks;2;
... gründlicher Untersuchung wurde das Verfahren verschoben.;Infolge;Wegen;Zwecks;3;
... Nebels konnte das Flugzeug nicht starten.;Infolge;Wegen;Zwecks;1;
Der Unterricht fiel ... der Erkrankung des Dozents aus.;infolge;wegen;gemäß;2;
