Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Alles hängt ... deiner Entscheidung ab.;auf;an;von;3;
Du solltest etwas ... deinem Verhalten ändern und nicht mehr so egoistisch sein.;an;auf;in;1;
Er hat ihn ... seinem Erfolg beglückwünscht.;bei;zu;auf;2;
Die Menschen müssen ... gebracht werden, weniger Müll zu produzieren.;dafür;darauf;dazu;3;
Ich beziehe mich ... das, was Sie vorhin erwähnt haben.;auf;an;für;1;
Wir haben diese Firma ... dem Umbau des Hauses beauftragt.;auf;mit;an;2;
Das ist neu für mich, ich habe noch nie ... gehört.;darüber;darauf;davon;3;
... hast du das erkannt.;woran;worauf;wovon;1;
Ich möchte Sie noch ... hinweisen, dass wir nächste Woche eine halbe Stunde später beginnen.;daran;darauf;darüber;2;
Die Mitarbeiter haben sich ... dem erkrankten Kollegen erkundigt.;zu;über;nach;3;
Mein Opa hat mir oft ... seiner Kindheit erzählt.;von;bei;zu;1;
Sie verdient zu wenig, um ... leben zu können.;daraus;davon;dabei;2;
Wir müssen herausfinden, ... das liegt.;worauf;wovon;woran;3;
Es kann nur ... ein Missverständnis handeln.;um;über;für;1;
Ich habe mich ... erkundigt, wann der nächste Zug fährt.;dazu;danach;darüber;2;
Momentan fehlt es in dem Land ... allem.;auf;bei;an;3;
Wie bist du bloß ... diese Idee gekommen?;auf;an;bei;1;
Ich habe die E-Mail ... alle Freunde geschickt.;auf;an;für;2;
Ich würde gern noch etwas ... diesem Punkt sagen.;auf;nach;zu;3;
Sie haben sich ... spezialisiert, defekte Handys zu reparieren.;darauf;daran;dafür;1;
... dem, was Sie gesagt haben, lässt sich schließen, dass die Lage ziemlich ausweglos ist.;auf;aus;von;2;
In den letzen Monaten sind einige alte Menschen ... Grippe gesorben.;unter;von;an;3;
Du bist gut und brauchst dich ... niemandem zu verstecken.;vor;gegen;bei;1;
In der E-mail schreibt sie ..., dass sie uns mal besuchen möchte.;dazu;davon;dafür;2;
Ich habe ... nachgedacht und bin zu einem Entschluss gekommen.;davon;dazu;darüber;3;
Wir müssen ... sorgen, dass so etwas nie wieder vorkommt.;darüber;dafür;dazu;2;
... lässt sich schließen, dass unsere Anstrengungen erfolreich waren.;darauf;daraus;davon;2;
Die beiden Boxer kämpfen jetzt schon zum dritten mal ...;gegenaufeinander;gegenübereinander;gegeneinander;3;
Der Kunde hat sich ... beschwert, dass er nicht gut beraten wurde.;darüber;darum;darauf;1;
Es kommt ... die richtige Mischung.;aus;auf;an;2;
Ich beschäftige mich schon seit Jahren ... diesem Thema.;über;zu;mit;3;
Ich bedanke mich bei Ihnen ... diese Hilfe.;für;über;auf;1;
Ich möchte ... bescheid wissen, wenn jemand nicht teilnimmt.;davon;darüber;dazu;2;
Woher weißt du das? Wer hat dir ... erzählt.;dazu;dabei;davon;3;
Ich möchte noch etwas ... diesem Punkt anmerken.;zu;ab;nach;1;
... geht es in diesem Film?;wofür;worum;vorüber;2;
Überleg dir gut, ... du dein Geld ausgibst.;wozu;worauf;wofür;3;
Der Kursleiter hat ... hingewiesen, dass die Schüler sich bis zum Ende der Monats für die Prüfung anmelden müssen.;darauf;daran;dazu;1;
Vielen Jugendlichen fehlt jemand, ... dem sie sich orientieren könnten.;auf;an;zu;2;
Es kommt ... an, den gegner nicht zu unterschätzen.;darüber;dazu;darauf;3;
